id	delRNA*_in_Cyt	delRNA*_in_RG	delRNA*_difference
Ankrd26	-0.460160702	0.831267032	1.291427734
1190002N15Rik	-0.721724365	0.568905996	1.290630361
Nek7	-0.600773468	0.688221899	1.288995367
Secisbp2l	-0.659288058	0.628084221	1.287372279
Ankrd11	-0.806562996	0.479549638	1.286112634
Klhl24	-0.919778783	0.361430854	1.281209637
Paqr8	-0.42242672	0.85829322	1.28071994
Sertad2	-0.297969652	0.982590646	1.280560298
Amer1	-0.919884559	0.360431096	1.280315655
Dido1	-0.660260053	0.618568989	1.278829042
Arhgap35	-0.855290676	0.423163106	1.278453782
Ibtk	-0.367696568	0.909041697	1.276738265
Faxc	-0.49053847	0.783789272	1.274327742
Mtmr1	-0.773941497	0.498501601	1.272443098
Tshz1	-0.685665564	0.585520944	1.271186508
Brca2	-0.517599654	0.753294887	1.270894541
Osbpl8	-0.538397006	0.731741742	1.270138748
Cpsf2	-0.99263725	0.275421014	1.268058264
Pkn2	-0.485445092	0.780616708	1.2660618
Jmjd1c	-0.264118123	1.000717949	1.264836072
Msl2	-0.112266963	1.151673585	1.263940548
Trim56	-1.067433535	0.196453423	1.263886958
Arid4b	-0.578750361	0.684140747	1.262891108
Gm13034	-1.008398602	0.25427168	1.262670282
Dennd6a	-0.318116355	0.944301033	1.262417388
4930414N06Rik	0.174296184	1.436596347	1.262300163
Tbl1xr1	-0.655365017	0.606875167	1.262240184
Atad2b	-0.190912328	1.070907766	1.261820094
Fam208a	-0.312893041	0.948922321	1.261815362
Vps13c	-1.340491393	-0.079494697	1.260996696
Ankrd28	0.084849923	1.344388179	1.259538256
Ado	-0.349035904	0.909746855	1.258782759
Mbnl2	-0.573415724	0.683357835	1.256773559
Nfatc3	-0.690657542	0.564446224	1.255103766
Prune2	-1.253195413	0.000461719	1.253657132
Epm2aip1	-0.611108564	0.642072471	1.253181035
Chd2	-0.546309908	0.705933392	1.2522433
Atxn3	-0.180288053	1.071104677	1.25139273
