Protocol	Fraction	Density	Treatment	Replica	fraction_volume	ng_raw	final_volume	Vol_correct	Dil_factor	Dil_Correct	Rel_total
dLoRNA	10	1.114567824	TG	3	394.2637326	1.587	100	158.7	1.067702289	169.4443533	0.01809417
dLoRNA	11	1.128281483	TG	3	449.5358711	1.728	100	172.8	1.343759847	232.2017016	0.024795734
dLoRNA	12	1.140036047	TG	3	409.5802788	1.864	100	186.4	1.323017992	246.6105537	0.026334388
dLoRNA	13	1.1557088	TG	3	385.5739372	2.268	150	340.2	1.369352366	465.853675	0.049746335
dLoRNA	14	1.175299741	TG	3	364.9678513	2.173	200	434.6	1.442744006	627.0165452	0.066956164
dLoRNA	15	1.194890683	TG	3	380.6381088	1.913	200	382.6	1.657556365	634.1810651	0.06772123
dLoRNA	16	1.214481624	TG	3	401.2481536	2.468	200	493.6	1.908450308	942.0110722	0.100592956
dLoRNA	17	1.24582713	TG	3	567.2244727	2.249	200	449.8	3.062362464	1377.450636	0.147091511
dLoRNA	18	1.2889272	TG	3	514.1751226	1.901	200	380.2	3.230248008	1228.140293	0.131147357
dLoRNA	19	1.317555051	TG	3	475.5763385	1.512	150	226.8	3.266851904	740.9220117	0.079119596
dLoRNA	20	1.362811692	TG	3	478.2546022	1.763	100	176.3	3.728946908	657.4133398	0.070202096
dLoRNA	21	1.414407962	TG	3	497.9344507	1.463	150	219.45	4.409057181	967.5675983	0.103322018
dLoRNA	1	1.01269493	DMSO	4	1000	8.26	30	247.8	1	247.8	0.008928644
dLoRNA	2	1.028367683	DMSO	4	500	7.639	30	229.17	1	229.17	0.008257374
dLoRNA	3	1.042081342	DMSO	4	500	7.199	30	215.97	1	215.97	0.007781757
dLoRNA	4	1.053835906	DMSO	4	500	7.345	30	220.35	1	220.35	0.007939575
dLoRNA	5	1.063631377	DMSO	4	500	6.444	30	193.32	1	193.32	0.00696564
dLoRNA	6	1.075385942	DMSO	4	500	9.246	30	277.38	1	277.38	0.00999446
dLoRNA	7	1.085181412	DMSO	4	474.9055339	9.852	30	295.56	1	295.56	0.010649516
dLoRNA	8	1.096935977	DMSO	4	426.140156	5.719	75	428.925	1	428.925	0.015454878
dLoRNA	9	1.104772353	DMSO	4	398.8372533	4.409	200	881.8	1	881.8	0.031772713
dLoRNA	10	1.11260873	DMSO	4	398.8222981	4.916	200	983.2	1.064030342	1046.154632	0.037694683
dLoRNA	11	1.126322389	DMSO	4	418.0916266	4.379	200	875.8	1.232975378	1079.839836	0.038908416
