treatment	replicate	merge_fraction	fraction	per_fraction_ng	proportion_initial_fraction	used_ng	proportion_extracted_fraction	volume_ul
DMSO	4	8	20	3295.704353	0.0315606282925847	104.014500047286	0.125566782634007	7.5340069580404
DMSO	4	8	21	0	0.0315606282925847	0	0.150533351240398	9.0320010744239
TG	1	1	1	0	0.358716083394315	0	0.358716083394315	21.5229650036589
TG	1	1	2	0	0.358716083394315	0	0.358716083394315	21.5229650036589
TG	1	1	3	0	0.358716083394315	0	0.358716083394315	21.5229650036589
TG	1	1	4	0	0.358716083394315	0	0.358716083394315	21.5229650036589
TG	1	1	5	0	0.358716083394315	0	0.358716083394315	21.5229650036589
TG	1	1	6	0	0.358716083394315	0	0.358716083394315	21.5229650036589
TG	1	1	7	400.2	0.358716083394315	143.558176574405	0.358716083394315	21.5229650036589
TG	1	1	8	5175.24	0.358716083394315	1856.4418234256	0.358716083394315	21.5229650036589
TG	1	2	8	5175.24	0.214159818906457	1108.32846119745	0.214159818906457	12.8495891343874
TG	1	2	9	4163.58	0.214159818906457	891.671538802547	0.214159818906457	12.8495891343874
TG	1	3	9	4163.58	0.391448036354696	1629.82521520568	0.391448036354696	23.4868821812818
TG	1	3	10	0	0.391448036354696	0	0.490776241073451	29.446574464407
TG	1	3	11	0	0.391448036354696	0	0.522418552427042	31.3451131456225
TG	1	3	12	0	0.391448036354696	0	0.483260736275948	28.9956441765569
TG	1	3	13	945.6549795	0.391448036354696	370.174784794315	0.638474567540684	38.3084740524411
TG	1	4	14	2756.391986	0.332552245261335	916.644343764651	0.416686824321013	25.0012094592608
TG	1	4	15	3257.700622	0.332552245261335	1083.35565623535	0.500538563705469	30.0323138223282
TG	1	5	16	6865.247164	0.291322359155196	2000	0.601956358056623	36.1173814833974
TG	1	6	17	65685.26421	0.0304482295086136	2000	0.0797638988746331	4.78583393247799
TG	1	7	18	72672.79039	0.0275206165783226	2000	0.0932207971875566	5.5932478312534
TG	1	8	19	15316.5626	0.103699016492027	1588.31247765857	0.364772080185974	21.8863248111584
TG	1	8	20	3970.023403	0.103699016492027	411.687522341431	0.388795257534621	23.3277154520773
TG	1	8	21	0	0.103699016492027	0	0.451522952618231	27.0913771570938
TG	2	1	1	0	0.178556761408884	0	0.178556761408884	10.7134056845331
TG	2	1	2	0	0.178556761408884	0	0.178556761408884	10.7134056845331
TG	2	1	3	0	0.178556761408884	0	0.178556761408884	10.7134056845331
TG	2	1	4	0	0.178556761408884	0	0.178556761408884	10.7134056845331
TG	2	1	5	0	0.178556761408884	0	0.178556761408884	10.7134056845331
TG	2	1	6	0	0.178556761408884	0	0.178556761408884	10.7134056845331
TG	2	1	7	1598.22	0.178556761408884	285.372987218907	0.178556761408884	10.7134056845331
TG	2	1	8	9602.7	0.178556761408884	1714.62701278109	0.178556761408884	10.7134056845331
TG	2	2	8	9602.7	0.105536330354043	1013.43371949077	0.105536330354043	6.33217982124256
TG	2	2	9	9348.12	0.105536330354043	986.566280509234	0.105536330354043	6.33217982124256
TG	2	3	9	9348.12	0.194771548550113	1820.74780843228	0.194771548550113	11.6862929130068
TG	2	3	10	920.3202054	0.194771548550113	179.252191567716	0.202448771811202	12.1469263086721
TG	2	3	11	0	0.194771548550113	0	0.229413911448904	13.7648346869342
TG	2	3	12	0	0.194771548550113	0	0.339475392004214	20.3685235202529
TG	2	4	13	715.1928027	0.383170941895611	274.041099847521	0.772817540530515	46.3690524318309
TG	2	4	14	4504.409681	0.383170941895611	1725.95890015248	0.581401088967376	34.8840653380426
TG	2	5	15	4512.80707	0.443183138338772	2000	0.780969339334066	46.8581603600439
