treatment	replicate	merge_fraction	fraction	per_fraction_ng	proportion_initial_fraction	used_ng	proportion_extracted_fraction	volume_ul
DMSO	1	8	21	505110.1523	0.0361643703108204	18266.9905955321	0.0695885356158039	10.4382803423706
DMSO	2	1	1	78870	0.221884794233974	17500.0537212335	0.221884794233974	6.65654382701922
DMSO	2	1	2	68640	0.221884794233974	15230.17227622	0.221884794233974	6.65654382701922
DMSO	2	1	3	55950	0.221884794233974	12414.4542373908	0.221884794233974	6.65654382701922
DMSO	2	1	4	71490	0.221884794233974	15862.5439397868	0.221884794233974	6.65654382701922
DMSO	2	1	5	87780	0.221884794233974	19477.0472378582	0.221884794233974	6.65654382701922
DMSO	2	1	6	64722.98732	0.221884794233974	14361.0467237063	0.2293730510237	6.881191530711
DMSO	2	1	7	110561.6451	0.221884794233974	24531.9478731832	0.226330361481729	6.78991084445187
DMSO	2	1	8	453490.8953	0.221884794233974	100622.733990621	0.301807840454628	30.1807840454629
DMSO	2	2	8	453490.8953	0.25386834917512	115126.984955758	0.345311892546951	34.5311892546951
DMSO	2	2	9	413100	0.25386834917512	104873.015044242	0.25386834917512	38.0802523762679
DMSO	2	3	9	413100	0.181071764841126	74800.7460558691	0.181071764841126	27.1607647261689
DMSO	2	3	10	264115.2252	0.181071764841126	47823.8099483754	0.201363410289889	20.1363410289889
DMSO	2	3	11	289140.5035	0.181071764841126	52355.1812557967	0.220350089455546	22.0350089455546
DMSO	2	3	12	248632.153	0.181071764841126	45020.2627399588	0.220040384852178	22.0040384852178
DMSO	2	4	13	584368.3166	0.154107773096654	90055.6999394667	0.279762969703407	41.964445455511
DMSO	2	4	14	843204.0607	0.154107773096654	129944.300060533	0.244808402570091	48.9616805140182
DMSO	2	5	15	755473.9793	0.291207911891083	220000	0.533462657593348	106.69253151867
DMSO	2	6	16	902081.798	0.243880322702177	220000	0.516431924857439	77.4647887286159
DMSO	2	7	17	1098709.729	0.200234870223853	220000	0.498640072459029	99.7280144918058
DMSO	2	8	18	569253.3596	0.0618763411486178	35223.3150786064	0.187457770478947	18.7457770478947
DMSO	2	8	19	1262034.515	0.0618763411486178	78090.0781914704	0.225173235846937	45.0346471693875
DMSO	2	8	20	1120300.252	0.0618763411486178	69320.0805816345	0.254199048796546	38.1298573194819
DMSO	2	8	21	603890.3635	0.0618763411486178	37366.5261482888	0.118342125554011	17.7513188331017
DMSO	3	1	1	67110	0.270345499551557	18142.886474905	0.270345499551557	8.1103649865467
DMSO	3	1	2	37380	0.270345499551557	10105.5147732372	0.270345499551557	8.1103649865467
DMSO	3	1	3	60210	0.270345499551557	16277.5025279992	0.270345499551557	8.1103649865467
DMSO	3	1	4	91320	0.270345499551557	24687.9510190482	0.270345499551557	8.1103649865467
DMSO	3	1	5	45600	0.270345499551557	12327.754779551	0.270345499551557	8.1103649865467
DMSO	3	1	6	54240	0.270345499551557	14663.5398956764	0.270345499551557	8.1103649865467
DMSO	3	1	7	139513.4875	0.270345499551557	37716.8434723674	0.281574045750661	14.0787022875331
DMSO	3	1	8	318400	0.270345499551557	86078.0070572156	0.270345499551557	27.0345499551557
DMSO	3	2	8	318400	0.331991266535731	105706.019264977	0.331991266535731	33.1991266535731
DMSO	3	2	9	344268.0343	0.331991266535731	114293.980735023	0.342300033590137	51.3450050385205
DMSO	3	3	9	344268.0343	0.214946281433347	73999.1337891529	0.221620647200944	33.2430970801416
DMSO	3	3	10	225701.7116	0.214946281433347	48513.7436215617	0.235617987738214	23.5617987738214
DMSO	3	3	11	232855.356	0.214946281433347	50051.3928840382	0.251894276879216	25.1894276879216
DMSO	3	3	12	220686.4403	0.214946281433347	47435.7297052473	0.286967510858423	28.6967510858423
DMSO	3	4	13	546286.4285	0.182273228318558	99573.3909093102	0.310778373299157	46.6167559948736
DMSO	3	4	14	660692.7973	0.182273228318558	120426.60909069	0.262253067686561	52.4506135373121
DMSO	3	5	15	811152.4679	0.271219047843817	220000	0.434096289334608	86.8192578669217
