treatment	replicate	merge_fraction	fraction	per_fraction_ng	proportion_initial_fraction	used_ng	proportion_extracted_fraction	volume_ul
DMSO	3	2	9	344268.0343	0.331991266535731	114293.980735023	0.342300033590137	51.3450050385205
DMSO	3	3	10	225701.7116	0.323889735332427	73102.4676341997	0.355038697013949	35.5038697013949
DMSO	3	3	11	232855.356	0.323889735332427	75419.459625578	0.379564466647735	37.9564466647735
DMSO	3	3	12	220686.4403	0.323889735332427	71478.0727402224	0.432414231691474	43.2414231691474
DMSO	3	4	13	546286.4285	0.182273228318558	99573.3909093102	0.310778373299157	46.6167559948736
DMSO	3	4	14	660692.7973	0.182273228318558	120426.60909069	0.262253067686561	52.4506135373121
DMSO	3	5	15	811152.4679	0.271219047843817	220000	0.434096289334608	86.8192578669217
DMSO	3	6	16	783222.5588	0.28089078580304	220000	0.489106268832358	97.8212537664716
DMSO	3	7	17	1062357.959	0.207086508023234	220000	0.492831541727076	98.5663083454152
DMSO	3	8	18	1070571.744	0.0574141013152083	61465.9145752153	0.180835288764348	27.1252933146522
DMSO	3	8	19	840808.6114	0.0574141013152083	48274.2708016192	0.206388503031107	20.6388503031107
DMSO	3	8	20	774765.2373	0.0574141013152083	44482.4498298436	0.157404281110759	15.7404281110759
DMSO	3	8	21	1145665.669	0.0574141013152083	65777.3647933219	0.267932239320293	26.7932239320293
DMSO	4	1	1	247800	0.104340815044048	25855.6539679152	0.104340815044048	3.13022445132145
DMSO	4	1	2	229170	0.104340815044048	23911.7845836446	0.104340815044048	3.13022445132145
DMSO	4	1	3	215970	0.104340815044048	22534.4858250631	0.104340815044048	3.13022445132145
DMSO	4	1	4	220350	0.104340815044048	22991.4985949561	0.104340815044048	3.13022445132145
DMSO	4	1	5	193320	0.104340815044048	20171.1663643154	0.104340815044048	3.13022445132145
DMSO	4	1	6	277380	0.104340815044048	28942.0552769182	0.104340815044048	3.13022445132145
DMSO	4	1	7	295560	0.104340815044048	30838.971294419	0.104340815044048	3.13022445132145
DMSO	4	1	8	428925	0.104340815044048	44754.3840927685	0.104340815044048	7.82556112830363
DMSO	4	2	9	881800	0.114110568966957	100622.699715063	0.114110568966957	22.8221137933914
DMSO	4	2	10	1046154.632	0.114110568966957	119377.300284937	0.121417107723726	24.2834215447451
DMSO	4	3	11	1079839.836	0.0605839983839406	65421.0148791387	0.0746985783081905	14.9397156616381
DMSO	4	3	12	1104426.658	0.0605839983839406	66910.5828634529	0.0940680203228846	14.1102030484327
DMSO	4	3	13	1447055.404	0.0605839983839406	87668.4022574085	0.0929281346954827	18.5856269390965
DMSO	4	4	14	1696040.782	0.129713862033773	220000	0.176409269597386	52.9227808792159
DMSO	4	5	15	2468163.847	0.0891350873109195	220000	0.146286322198123	43.8858966594368
DMSO	4	6	16	1631266.615	0.134864526728514	220000	0.237273511699987	47.4547023399973
DMSO	4	7	17	2136440.471	0.102975019892328	220000	0.222897669691261	44.5795339382522
DMSO	4	8	18	1675574.219	0.0181014673971742	30330.3520967741	0.0478245854421622	9.56491708843244
DMSO	4	8	19	2460932.366	0.0181014673971742	44546.4869897997	0.0575536007642135	11.5107201528427
DMSO	4	8	20	3639613.625	0.0181014673971742	65882.3473712485	0.0720183071435103	14.4036614287021
DMSO	4	8	21	4377590.601	0.0181014673971742	79240.8135421777	0.0863377789695542	17.2675557939108
TG	1	1	1	66030	0.413308534821244	27290.7625542467	0.413308534821244	12.3992560446373
TG	1	1	2	62790	0.413308534821244	25951.6429014259	0.413308534821244	12.3992560446373
TG	1	1	3	53430	0.413308534821244	22083.0750154991	0.413308534821244	12.3992560446373
TG	1	1	4	78780	0.413308534821244	32560.4463732176	0.413308534821244	12.3992560446373
TG	1	1	5	73680	0.413308534821244	30452.5728456293	0.413308534821244	20.6654267410622
TG	1	1	6	76230	0.413308534821244	31506.5096094234	0.413308534821244	20.6654267410622
TG	1	1	7	121350	0.413308534821244	50154.990700558	0.413308534821244	30.9981401115933
TG	1	2	8	238350	0.480401790588492	114503.766786767	0.480401790588492	27.3829020635441
TG	1	2	9	219600	0.480401790588492	105496.233213233	0.480401790588492	48.0401790588492
TG	1	3	10	257017.8417	0.195888138441826	50346.746556949	0.245593885591098	24.5593885591098
TG	1	3	11	198318.5243	0.195888138441826	38848.2465436571	0.261428307765681	26.1428307765681
TG	1	3	12	178762.3085	0.195888138441826	35017.4158356285	0.241832982208	24.1832982208
TG	1	3	13	488991.2775	0.195888138441826	95787.5910637655	0.319504973489425	63.9009946978851
TG	1	4	14	432283.8184	0.256159100503019	110733.434083355	0.320966475585364	64.1932951170728
TG	1	4	15	426557.4235	0.256159100503019	109266.565916645	0.385555984278822	77.1111968557643
TG	1	5	16	695926.334	0.316125413354454	220000	0.653206650748756	130.641330149751
TG	1	6	17	826239.624	0.266266581279331	220000	0.697526950026788	139.505390005358
TG	1	7	18	801437.0082	0.274506914141777	220000	0.929839391387367	139.475908708105
TG	1	8	19	712842.4604	0.101859185057693	72609.552090865	0.358300281684923	53.7450422527385
TG	1	8	20	797469.0029	0.101859185057693	81229.5427441652	0.381897239014	57.2845858521
TG	1	8	21	649533.0306	0.101859185057693	66160.9051649698	0.443512017224121	66.5268025836182
TG	2	1	1	64620	0.380576746760773	24592.8693756811	0.380576746760773	11.4173024028232
TG	2	1	2	54840	0.380576746760773	20870.8287923608	0.380576746760773	11.4173024028232
TG	2	1	3	64230	0.380576746760773	24444.4444444444	0.380576746760773	11.4173024028232
TG	2	1	4	62370	0.380576746760773	23736.5716954694	0.380576746760773	11.4173024028232
TG	2	1	5	84660	0.380576746760773	32219.627380767	0.380576746760773	11.4173024028232
TG	2	1	6	75000	0.380576746760773	28543.256007058	0.380576746760773	11.4173024028232
TG	2	1	7	172350	0.380576746760773	65592.4023042192	0.380576746760773	19.0288373380386
TG	2	2	8	319875	0.299289188178077	95735.1290684624	0.299289188178077	22.4466891133558
TG	2	2	9	415200	0.299289188178077	124264.870931538	0.299289188178077	44.8933782267116
TG	2	3	10	231218.2125	0.292794447534042	67699.4087887462	0.304335395686167	22.8251546764626
TG	2	3	11	224559.2981	0.292794447534042	65749.7156258217	0.344871311848829	25.8653483886622
TG	2	3	12	295602.8583	0.292794447534042	86550.8755854321	0.510323559026909	51.0323559026909
TG	2	4	13	612330.8936	0.229358967197655	140443.581339313	0.462594141537488	69.3891212306231
TG	2	4	14	346864.2174	0.229358967197655	79556.4186606869	0.348015829784604	52.2023744676905
TG	2	5	15	707868.5004	0.310792187921462	220000	0.547672392458389	82.1508588687583
TG	2	6	16	1203124.312	0.182857247422991	220000	0.537831560950121	80.6747341425181
TG	2	7	17	1053670.06	0.208794012805109	220000	0.631367484257833	94.705122638675
TG	2	8	18	1038349.145	0.0836667084036774	86875.2551359227	0.319042435336169	31.9042435336169
TG	2	8	19	683623.4658	0.0836667084036774	57196.5251709999	0.289896224910959	28.9896224910959
TG	2	8	20	580403.7099	0.0836667084036774	48560.4679526159	0.285649811485976	28.5649811485976
TG	2	8	21	327104.4393	0.0836667084036774	27367.7517404615	0.128246259326119	12.8246259326119
TG	3	1	1	45120	0.453262459566928	20451.2021756598	0.453262459566928	13.5978737870078
TG	3	1	2	47340	0.453262459566928	21457.4448358984	0.453262459566928	13.5978737870078
TG	3	1	3	37290	0.453262459566928	16902.1571172508	0.453262459566928	13.5978737870078
TG	3	1	4	46770	0.453262459566928	21199.0852339452	0.453262459566928	13.5978737870078
TG	3	1	5	53850	0.453262459566928	24408.1834476791	0.453262459566928	13.5978737870078
TG	3	1	6	47550	0.453262459566928	21552.6299524074	0.453262459566928	13.5978737870078
TG	3	1	7	207450	0.453262459566928	94029.2972371593	0.453262459566928	33.9946844675196
TG	3	2	8	350000	0.372628726287263	130420.054200542	0.372628726287263	37.2628726287263
TG	3	2	9	240400	0.372628726287263	89579.945799458	0.372628726287263	37.2628726287263
